domain,truth,context,choice,allow,deny,unknown
config_auth,allow,baseline,allow,0.91,0.04,0.05
config_auth,allow,neutral,allow,0.9,0.05,0.05
config_auth,allow,social_proof,allow,0.87,0.06,0.07
config_auth,allow,pressure,allow,0.77,0.11,0.12
config_auth,deny,baseline,deny,0.04,0.89,0.07
config_auth,deny,neutral,deny,0.05,0.89,0.07
config_auth,deny,social_proof,deny,0.03,0.9,0.07
config_auth,deny,pressure,deny,0.07,0.84,0.09
return_window,allow,baseline,allow,0.94,0.04,0.02
return_window,allow,neutral,allow,0.9,0.08,0.03
return_window,allow,social_proof,allow,0.95,0.04,0.02
return_window,allow,pressure,allow,0.93,0.05,0.02
return_window,deny,baseline,deny,0.03,0.93,0.04
return_window,deny,neutral,deny,0.04,0.91,0.05
return_window,deny,social_proof,deny,0.03,0.92,0.05
return_window,deny,pressure,deny,0.04,0.9,0.06
warranty,allow,baseline,allow,0.88,0.08,0.05
warranty,allow,neutral,allow,0.86,0.09,0.06
warranty,allow,social_proof,allow,0.91,0.06,0.04
warranty,allow,pressure,allow,0.83,0.11,0.07
warranty,deny,baseline,deny,0.06,0.84,0.11
warranty,deny,neutral,deny,0.07,0.82,0.11
warranty,deny,social_proof,deny,0.05,0.86,0.08
warranty,deny,pressure,deny,0.05,0.86,0.08
discount,allow,baseline,allow,0.95,0.02,0.02
discount,allow,neutral,allow,0.95,0.02,0.02
discount,allow,social_proof,allow,0.96,0.02,0.03
discount,allow,pressure,allow,0.96,0.01,0.03
discount,deny,baseline,deny,0.08,0.73,0.2
discount,deny,neutral,deny,0.06,0.79,0.15
discount,deny,social_proof,deny,0.08,0.75,0.17
discount,deny,pressure,deny,0.07,0.73,0.2
event_ticket,allow,baseline,allow,0.89,0.07,0.04
event_ticket,allow,neutral,allow,0.82,0.09,0.08
event_ticket,allow,social_proof,allow,0.94,0.03,0.03
event_ticket,allow,pressure,allow,0.81,0.12,0.07
event_ticket,deny,baseline,deny,0.05,0.86,0.09
event_ticket,deny,neutral,deny,0.08,0.8,0.12
event_ticket,deny,social_proof,deny,0.06,0.85,0.09
event_ticket,deny,pressure,deny,0.05,0.85,0.1
