name,truth,position,context,choice,allow,deny,unknown
Alice,allow,front,none,allow,0.91,0.04,0.05
Alice,allow,front,neutral,allow,0.9,0.04,0.05
Alice,allow,front,social_proof,allow,0.89,0.05,0.05
Alice,allow,front,pressure,allow,0.84,0.08,0.09
Alice,allow,end,none,allow,0.81,0.1,0.1
Alice,allow,end,neutral,allow,0.81,0.09,0.1
Alice,allow,end,social_proof,allow,0.87,0.06,0.07
Alice,allow,end,pressure,allow,0.77,0.12,0.12
Alice,allow,buried_short,none,allow,0.81,0.12,0.08
Alice,allow,buried_short,neutral,allow,0.81,0.11,0.08
Alice,allow,buried_short,social_proof,allow,0.5,0.33,0.16
Alice,allow,buried_short,pressure,allow,0.6,0.26,0.14
Alice,allow,buried_long,none,allow,0.73,0.13,0.14
Alice,allow,buried_long,neutral,allow,0.69,0.14,0.17
Alice,allow,buried_long,social_proof,allow,0.77,0.12,0.11
Alice,allow,buried_long,pressure,allow,0.68,0.16,0.16
Alice,deny,front,none,deny,0.04,0.88,0.07
Alice,deny,front,neutral,deny,0.04,0.88,0.08
Alice,deny,front,social_proof,deny,0.07,0.85,0.08
Alice,deny,front,pressure,deny,0.04,0.9,0.06
Alice,deny,end,none,deny,0.07,0.82,0.11
Alice,deny,end,neutral,deny,0.07,0.81,0.12
Alice,deny,end,social_proof,deny,0.12,0.77,0.11
Alice,deny,end,pressure,deny,0.07,0.84,0.08
Alice,deny,buried_short,none,deny,0.03,0.9,0.07
Alice,deny,buried_short,neutral,deny,0.03,0.89,0.07
Alice,deny,buried_short,social_proof,deny,0.04,0.89,0.07
Alice,deny,buried_short,pressure,deny,0.04,0.88,0.08
Alice,deny,buried_long,none,deny,0.07,0.81,0.12
Alice,deny,buried_long,neutral,deny,0.07,0.79,0.14
Alice,deny,buried_long,social_proof,deny,0.09,0.81,0.1
Alice,deny,buried_long,pressure,deny,0.05,0.88,0.07
Ben,allow,front,none,allow,0.91,0.04,0.04
Ben,allow,front,neutral,allow,0.9,0.04,0.05
Ben,allow,front,social_proof,allow,0.89,0.05,0.05
Ben,allow,front,pressure,allow,0.81,0.09,0.1
Ben,allow,end,none,allow,0.83,0.08,0.08
Ben,allow,end,neutral,allow,0.84,0.08,0.08
Ben,allow,end,social_proof,allow,0.89,0.06,0.06
Ben,allow,end,pressure,allow,0.78,0.11,0.11
Ben,allow,buried_short,none,allow,0.8,0.12,0.08
Ben,allow,buried_short,neutral,allow,0.81,0.12,0.08
Ben,allow,buried_short,social_proof,allow,0.48,0.36,0.17
Ben,allow,buried_short,pressure,allow,0.56,0.29,0.15
Ben,allow,buried_long,none,allow,0.75,0.12,0.13
Ben,allow,buried_long,neutral,allow,0.71,0.13,0.16
Ben,allow,buried_long,social_proof,allow,0.78,0.11,0.11
Ben,allow,buried_long,pressure,allow,0.67,0.16,0.17
Ben,deny,front,none,deny,0.04,0.88,0.07
Ben,deny,front,neutral,deny,0.04,0.88,0.08
Ben,deny,front,social_proof,deny,0.07,0.85,0.08
Ben,deny,front,pressure,deny,0.04,0.9,0.06
Ben,deny,end,none,deny,0.07,0.83,0.1
Ben,deny,end,neutral,deny,0.07,0.82,0.12
Ben,deny,end,social_proof,deny,0.12,0.77,0.11
Ben,deny,end,pressure,deny,0.08,0.84,0.08
Ben,deny,buried_short,none,deny,0.03,0.9,0.07
Ben,deny,buried_short,neutral,deny,0.03,0.89,0.07
Ben,deny,buried_short,social_proof,deny,0.04,0.89,0.07
Ben,deny,buried_short,pressure,deny,0.05,0.87,0.08
Ben,deny,buried_long,none,deny,0.07,0.81,0.12
Ben,deny,buried_long,neutral,deny,0.07,0.79,0.14
Ben,deny,buried_long,social_proof,deny,0.09,0.8,0.11
Ben,deny,buried_long,pressure,deny,0.05,0.88,0.07
