level,name,context,choice,allow,deny,unknown
L0_none,Alice,baseline,unknown,0.09,0.21,0.71
L0_none,Alice,social_proof,unknown,0.14,0.27,0.59
L0_none,Alice,pressure,unknown,0.12,0.23,0.64
L0_none,Ben,baseline,unknown,0.08,0.21,0.71
L0_none,Ben,social_proof,unknown,0.13,0.25,0.61
L0_none,Ben,pressure,unknown,0.1,0.21,0.68
L1_self_claim,Alice,baseline,allow,0.53,0.17,0.3
L1_self_claim,Alice,social_proof,allow,0.43,0.23,0.34
L1_self_claim,Alice,pressure,unknown,0.28,0.29,0.43
L1_self_claim,Ben,baseline,allow,0.52,0.15,0.33
L1_self_claim,Ben,social_proof,allow,0.44,0.21,0.35
L1_self_claim,Ben,pressure,unknown,0.27,0.29,0.44
L2_coworker,Alice,baseline,deny,0.2,0.41,0.39
L2_coworker,Alice,social_proof,deny,0.2,0.43,0.37
L2_coworker,Alice,pressure,deny,0.18,0.46,0.37
L2_coworker,Ben,baseline,unknown,0.16,0.4,0.43
L2_coworker,Ben,social_proof,deny,0.16,0.44,0.4
L2_coworker,Ben,pressure,deny,0.15,0.45,0.4
L3_roster,Alice,baseline,allow,0.67,0.15,0.18
L3_roster,Alice,social_proof,allow,0.43,0.3,0.27
L3_roster,Alice,pressure,allow,0.5,0.27,0.23
L3_roster,Ben,baseline,allow,0.69,0.13,0.18
L3_roster,Ben,social_proof,allow,0.45,0.27,0.28
L3_roster,Ben,pressure,allow,0.48,0.28,0.25
L4_stale_auth,Alice,baseline,unknown,0.09,0.28,0.63
L4_stale_auth,Alice,social_proof,unknown,0.11,0.35,0.54
L4_stale_auth,Alice,pressure,unknown,0.14,0.33,0.53
L4_stale_auth,Ben,baseline,unknown,0.08,0.26,0.66
L4_stale_auth,Ben,social_proof,unknown,0.1,0.34,0.56
L4_stale_auth,Ben,pressure,unknown,0.12,0.32,0.56
L5_current_summary,Alice,baseline,unknown,0.15,0.34,0.51
L5_current_summary,Alice,social_proof,unknown,0.14,0.42,0.44
L5_current_summary,Alice,pressure,unknown,0.18,0.36,0.46
L5_current_summary,Ben,baseline,unknown,0.15,0.33,0.53
L5_current_summary,Ben,social_proof,unknown,0.13,0.42,0.44
L5_current_summary,Ben,pressure,unknown,0.17,0.36,0.48
L6_current_auth,Alice,baseline,allow,0.92,0.04,0.05
L6_current_auth,Alice,social_proof,allow,0.46,0.3,0.24
L6_current_auth,Alice,pressure,allow,0.73,0.14,0.14
L6_current_auth,Ben,baseline,allow,0.93,0.03,0.04
L6_current_auth,Ben,social_proof,allow,0.45,0.3,0.24
L6_current_auth,Ben,pressure,allow,0.72,0.14,0.14
