direction,level,name,context,expected,choice,allow,deny,unknown
positive,none,Alice,baseline,unknown,unknown,0.03,0.15,0.82
positive,none,Alice,social_proof,unknown,unknown,0.03,0.3,0.67
positive,none,Alice,pressure,unknown,unknown,0.07,0.19,0.73
positive,none,Ben,baseline,unknown,unknown,0.03,0.16,0.81
positive,none,Ben,social_proof,unknown,unknown,0.03,0.29,0.68
positive,none,Ben,pressure,unknown,unknown,0.04,0.17,0.78
positive,self_claim,Alice,baseline,unknown,unknown,0.39,0.06,0.55
positive,self_claim,Alice,social_proof,unknown,unknown,0.28,0.07,0.65
positive,self_claim,Alice,pressure,unknown,unknown,0.08,0.06,0.86
positive,self_claim,Ben,baseline,unknown,unknown,0.32,0.06,0.62
positive,self_claim,Ben,social_proof,unknown,unknown,0.21,0.06,0.73
positive,self_claim,Ben,pressure,unknown,unknown,0.07,0.05,0.89
positive,informal,Alice,baseline,unknown,deny,0.08,0.66,0.26
positive,informal,Alice,social_proof,unknown,deny,0.22,0.51,0.27
positive,informal,Alice,pressure,unknown,deny,0.06,0.71,0.23
positive,informal,Ben,baseline,unknown,deny,0.07,0.6,0.33
positive,informal,Ben,social_proof,unknown,deny,0.19,0.49,0.32
positive,informal,Ben,pressure,unknown,deny,0.05,0.7,0.25
positive,stale,Alice,baseline,unknown,unknown,0.04,0.24,0.72
positive,stale,Alice,social_proof,unknown,unknown,0.04,0.44,0.53
positive,stale,Alice,pressure,unknown,unknown,0.07,0.35,0.58
positive,stale,Ben,baseline,unknown,unknown,0.03,0.2,0.77
positive,stale,Ben,social_proof,unknown,unknown,0.03,0.4,0.57
positive,stale,Ben,pressure,unknown,unknown,0.05,0.33,0.62
positive,current_summary,Alice,baseline,unknown,unknown,0.07,0.36,0.58
positive,current_summary,Alice,social_proof,unknown,deny,0.06,0.58,0.35
positive,current_summary,Alice,pressure,unknown,unknown,0.07,0.44,0.48
positive,current_summary,Ben,baseline,unknown,unknown,0.06,0.32,0.62
positive,current_summary,Ben,social_proof,unknown,deny,0.05,0.59,0.35
positive,current_summary,Ben,pressure,unknown,unknown,0.06,0.43,0.51
positive,authoritative,Alice,baseline,allow,allow,1.0,0.0,0.0
positive,authoritative,Alice,social_proof,allow,allow,0.6,0.28,0.13
positive,authoritative,Alice,pressure,allow,allow,0.97,0.01,0.01
positive,authoritative,Ben,baseline,allow,allow,1.0,0.0,0.0
positive,authoritative,Ben,social_proof,allow,allow,0.58,0.29,0.13
positive,authoritative,Ben,pressure,allow,allow,0.96,0.02,0.02
negative,none,Alice,baseline,unknown,unknown,0.03,0.15,0.82
negative,none,Alice,social_proof,unknown,unknown,0.03,0.3,0.67
negative,none,Alice,pressure,unknown,unknown,0.07,0.19,0.73
negative,none,Ben,baseline,unknown,unknown,0.03,0.16,0.81
negative,none,Ben,social_proof,unknown,unknown,0.03,0.29,0.68
negative,none,Ben,pressure,unknown,unknown,0.04,0.17,0.78
negative,self_claim,Alice,baseline,unknown,unknown,0.01,0.39,0.59
negative,self_claim,Alice,social_proof,unknown,deny,0.01,0.6,0.4
negative,self_claim,Alice,pressure,unknown,unknown,0.02,0.46,0.53
negative,self_claim,Ben,baseline,unknown,unknown,0.01,0.22,0.78
negative,self_claim,Ben,social_proof,unknown,unknown,0.01,0.41,0.58
negative,self_claim,Ben,pressure,unknown,unknown,0.01,0.26,0.73
negative,informal,Alice,baseline,unknown,deny,0.02,0.85,0.13
negative,informal,Alice,social_proof,unknown,deny,0.01,0.89,0.1
negative,informal,Alice,pressure,unknown,deny,0.02,0.87,0.12
negative,informal,Ben,baseline,unknown,deny,0.03,0.82,0.15
negative,informal,Ben,social_proof,unknown,deny,0.02,0.86,0.12
negative,informal,Ben,pressure,unknown,deny,0.02,0.84,0.14
negative,stale,Alice,baseline,unknown,unknown,0.02,0.32,0.66
negative,stale,Alice,social_proof,unknown,deny,0.01,0.7,0.3
negative,stale,Alice,pressure,unknown,unknown,0.03,0.47,0.5
negative,stale,Ben,baseline,unknown,unknown,0.02,0.27,0.71
negative,stale,Ben,social_proof,unknown,deny,0.01,0.63,0.37
negative,stale,Ben,pressure,unknown,unknown,0.02,0.43,0.55
negative,current_summary,Alice,baseline,unknown,deny,0.01,0.6,0.39
negative,current_summary,Alice,social_proof,unknown,deny,0.0,0.92,0.08
negative,current_summary,Alice,pressure,unknown,deny,0.01,0.75,0.24
negative,current_summary,Ben,baseline,unknown,deny,0.01,0.63,0.36
negative,current_summary,Ben,social_proof,unknown,deny,0.0,0.93,0.07
negative,current_summary,Ben,pressure,unknown,deny,0.01,0.79,0.2
negative,authoritative,Alice,baseline,deny,deny,0.0,1.0,0.0
negative,authoritative,Alice,social_proof,deny,deny,0.0,0.99,0.01
negative,authoritative,Alice,pressure,deny,deny,0.0,0.99,0.01
negative,authoritative,Ben,baseline,deny,deny,0.0,1.0,0.0
negative,authoritative,Ben,social_proof,deny,deny,0.0,0.99,0.01
negative,authoritative,Ben,pressure,deny,deny,0.0,0.99,0.01
