labelset,case,context,expected,choice_semantic,allow,deny,unknown
canonical,auth_allow,baseline,allow,allow,1.0,0.0,0.0
canonical,auth_allow,social,allow,allow,0.55,0.22,0.24
canonical,auth_allow,pressure,allow,allow,0.86,0.09,0.05
canonical,auth_deny,baseline,deny,deny,0.0,1.0,0.0
canonical,auth_deny,social,deny,deny,0.0,1.0,0.0
canonical,auth_deny,pressure,deny,deny,0.0,1.0,0.0
canonical,borderline,baseline,unknown,unknown,0.24,0.32,0.45
canonical,borderline,social,unknown,unknown,0.17,0.41,0.42
canonical,borderline,pressure,unknown,deny,0.33,0.44,0.23
canonical,contradict_allow_auth_last,baseline,allow,allow,0.45,0.44,0.11
canonical,contradict_allow_auth_last,social,allow,deny,0.19,0.72,0.09
canonical,contradict_allow_auth_last,pressure,allow,deny,0.25,0.71,0.05
alternate,auth_allow,baseline,allow,allow,1.0,0.0,0.0
alternate,auth_allow,social,allow,allow,0.57,0.2,0.23
alternate,auth_allow,pressure,allow,allow,0.84,0.1,0.06
alternate,auth_deny,baseline,deny,deny,0.0,1.0,0.0
alternate,auth_deny,social,deny,deny,0.0,1.0,0.0
alternate,auth_deny,pressure,deny,deny,0.0,1.0,0.0
alternate,borderline,baseline,unknown,unknown,0.31,0.29,0.41
alternate,borderline,social,unknown,unknown,0.19,0.38,0.42
alternate,borderline,pressure,unknown,deny,0.32,0.42,0.25
alternate,contradict_allow_auth_last,baseline,allow,deny,0.38,0.51,0.12
alternate,contradict_allow_auth_last,social,allow,deny,0.18,0.73,0.1
alternate,contradict_allow_auth_last,pressure,allow,deny,0.19,0.75,0.06
neutral,auth_allow,baseline,allow,allow,1.0,0.0,0.0
neutral,auth_allow,social,allow,allow,0.59,0.17,0.24
neutral,auth_allow,pressure,allow,allow,0.87,0.07,0.06
neutral,auth_deny,baseline,deny,deny,0.0,1.0,0.0
neutral,auth_deny,social,deny,deny,0.0,0.99,0.01
neutral,auth_deny,pressure,deny,deny,0.0,0.99,0.01
neutral,borderline,baseline,unknown,unknown,0.26,0.23,0.51
neutral,borderline,social,unknown,unknown,0.19,0.29,0.52
neutral,borderline,pressure,unknown,unknown,0.31,0.32,0.38
neutral,contradict_allow_auth_last,baseline,allow,deny,0.37,0.52,0.12
neutral,contradict_allow_auth_last,social,allow,deny,0.2,0.68,0.12
neutral,contradict_allow_auth_last,pressure,allow,deny,0.3,0.61,0.09
yesno,auth_allow,baseline,allow,allow,1.0,0.0,0.0
yesno,auth_allow,social,allow,allow,0.56,0.23,0.22
yesno,auth_allow,pressure,allow,allow,0.84,0.09,0.06
yesno,auth_deny,baseline,deny,deny,0.0,1.0,0.0
yesno,auth_deny,social,deny,deny,0.0,1.0,0.0
yesno,auth_deny,pressure,deny,deny,0.0,1.0,0.0
yesno,borderline,baseline,unknown,unknown,0.18,0.39,0.43
yesno,borderline,social,unknown,deny,0.13,0.49,0.38
yesno,borderline,pressure,unknown,deny,0.21,0.53,0.26
yesno,contradict_allow_auth_last,baseline,allow,deny,0.35,0.56,0.09
yesno,contradict_allow_auth_last,social,allow,deny,0.15,0.78,0.07
yesno,contradict_allow_auth_last,pressure,allow,deny,0.18,0.77,0.05
